,站名,时间
0,上海南站,22:30:00
1,石龙路,22:32:00
2,龙漕路,22:35:00
3,漕溪路,22:37:00
4,宜山路,22:39:00
5,虹桥路,22:41:00
6,延安西路,22:44:00
7,中山公园,22:46:00
8,金沙江路,22:48:00
9,曹杨路,22:50:00
10,镇坪路,22:53:00
11,中潭路,22:55:00
12,上海火车站,22:58:00
13,宝山路,23:01:00
14,东宝兴路,23:03:00
15,虹口足球场,23:06:00
16,赤峰路,23:08:00
17,大柏树,23:10:00
18,江湾镇,23:13:00
19,殷高西路,23:15:00
20,长江南路,23:18:00
21,淞发路,23:20:00
22,张华浜,23:23:00
23,淞滨路,23:25:00
24,水产路,23:27:00
25,宝杨路,23:30:00
26,友谊路,23:32:00
27,铁力路,23:34:00
28,江杨北路,23:36:00
