,站名,时间
0,宜山路,22:30:00
1,上海体育馆,22:32:00
2,上海体育场,22:34:00
3,东安路,22:36:00
4,大木桥路,22:37:00
5,鲁班路,22:39:00
6,西藏南路,22:42:00
7,南浦大桥,22:44:00
8,塘桥,22:47:00
9,蓝村路,22:49:00
10,浦电路,22:51:00
11,世纪大道,22:53:00
12,浦东大道,22:56:00
13,杨树浦路,22:58:00
14,大连路,23:00:00
15,临平路,23:02:00
16,海伦路,23:04:00
17,宝山路,23:07:00
18,上海火车站,23:10:00
19,中潭路,23:13:00
20,镇坪路,23:15:00
21,曹杨路,23:18:00
22,金沙江路,23:20:00
23,中山公园,23:22:00
24,延安西路,23:24:00
25,虹桥路,23:27:00
