,站名,时间
0,杨高中路,22:30:00
1,世纪大道,22:34:00
2,商城路,22:36:00
3,小南门,22:40:00
4,陆家浜路,22:43:00
5,马当路,22:45:00
6,打浦桥,22:47:00
7,嘉善路,22:49:00
8,肇嘉浜路,22:51:00
9,徐家汇,22:54:00
10,宜山路,22:57:00
11,桂林路,23:00:00
12,漕河泾开发区,23:03:00
13,合川路,23:05:00
14,星中路,23:08:00
15,七宝,23:11:00
16,中春路,23:14:00
17,九亭,23:18:00
18,泗泾,23:24:00
19,佘山,23:29:00
20,洞泾,23:32:00
21,松江大学城,23:36:00
22,松江新城,23:40:00
23,松江体育中心,23:43:00
24,醉白池,23:46:00
25,松江南站,23:50:00
