,站名,时间
0,莘庄,22:32:00
1,外环路,22:34:00
2,莲花路,22:36:00
3,锦江乐园,22:39:00
4,上海南站,22:42:00
5,漕宝路,22:45:00
6,上海体育馆,22:48:00
7,徐家汇,22:50:00
8,衡山路,22:52:00
9,常熟路,22:54:00
10,陕西南路,22:56:00
11,黄陂南路,22:58:00
12,人民广场,23:01:00
13,新闸路,23:03:00
14,汉中路,23:05:00
15,上海火车站,23:08:00
16,中山北路,23:10:00
17,延长路,23:13:00
18,上海马戏城,23:15:00
19,汶水路,23:17:00
20,彭浦新村,23:20:00
21,共康路,23:23:00
22,通河新村,23:25:00
23,呼兰路,23:27:00
24,共富新村,23:30:00
25,宝安公路,23:33:00
26,友谊西路,23:35:00
27,富锦路,23:37:00
