,站名,时间,Unnamed: 2,车站
8,曲阳路,23:18:00,,
8,四平路,23:20:00,,
8,鞍山新村,23:22:00,,
8,江浦路,23:24:00,,
8,黄兴路,23:26:00,,
8,延吉中路,23:28:00,,
8,黄兴公园,23:30:00,,
8,翔殷路,23:32:00,,
8,嫩江路,23:34:00,,
8,市光路,23:36:00,,
9,曹路,22:30:00,,
9,民雷路,22:32:00,,
9,顾唐路,22:35:00,,
9,金海路,22:38:00,,
9,金吉路,22:40:00,,
9,金桥,22:43:00,,
9,台儿庄路,22:46:00,,
9,蓝天路,22:49:00,,
9,芳甸路,22:53:00,,
9,杨高中路,22:55:00,,
9,世纪大道,22:59:00,,
9,商城路,23:01:00,,
9,小南门,23:05:00,,
9,陆家浜路,23:08:00,,
9,马当路,23:10:00,,
9,打浦桥,23:12:00,,
9,嘉善路,23:14:00,,
9,肇嘉浜路,23:16:00,,
9,徐家汇,23:19:00,,
9,宜山路,23:22:00,,
9,桂林路,23:25:00,,
9,漕河泾开发区,23:28:00,,
9,合川路,23:30:00,,
9,星中路,23:33:00,,
9,七宝,23:36:00,,
9,中春路,23:39:00,,
9,九亭,23:43:00,,
9,泗泾,23:49:00,,
9,佘山,23:54:00,,
9,洞泾,23:57:00,,
9,松江大学城,次00:01:00,,
9,松江新城,次00:05:00,,
9,松江体育中心,次00:08:00,,
9,醉白池,次00:11:00,,
9,松江南站,次00:14:00,,
10,新江湾城,22:25:00,22:30:00,
10,殷高东路,22:26:00,22:31:00,
10,三门路,22:28:00,22:33:00,
10,江湾体育场,22:30:00,22:35:00,
10,五角场,22:32:00,22:37:00,
10,国权路,22:34:00,22:39:00,
10,同济大学,22:36:00,22:41:00,
10,四平路,22:38:00,22:43:00,
10,邮电新村,22:40:00,22:45:00,
10,海伦路,22:42:00,22:47:00,
10,四川北路,22:44:00,22:49:00,
10,天潼路,22:46:00,22:51:00,
10,南京东路,22:48:00,22:53:00,
10,豫园,22:50:00,22:55:00,
10,老西门,22:53:00,22:58:00,
10,新天地,22:55:00,23:00:00,
10,陕西南路,22:58:00,23:03:00,
10,上海图书馆,23:00:00,23:05:00,
10,交通大学,23:02:00,23:07:00,
10,虹桥路,23:04:00,23:09:00,
10,宋园路,23:06:00,23:11:00,
10,伊犁路,23:08:00,23:13:00,
10,水城路,23:10:00,23:15:00,
10,龙溪路,23:12:00,23:17:00,
10,上海动物园,--,23:20:00,
10,虹桥1号航站楼,--,23:22:00,
10,虹桥2号航站楼,--,23:25:00,
10,虹桥火车站,--,23:27:00,
10,龙柏新村,23:16:00,--,
10,紫藤路,23:18:00,--,
10,航中路,23:20:00,--,
11,迪士尼,22:30:00,22:00:00,
11,康新公路,22:34:00,22:04:00,
11,秀沿路,22:37:00,22:07:00,
11,罗山路,22:40:00,22:10:00,
11,御桥,22:43:00,22:13:00,
11,浦三路,22:47:00,22:17:00,
11,三林东,22:50:00,22:20:00,
11,三林,22:52:00,22:22:00,
11,东方体育中心,22:57:00,22:27:00,
11,龙耀路,23:00:00,22:30:00,
11,云锦路,23:02:00,22:32:00,
11,龙华,23:04:00,22:34:00,
11,上海游泳馆,23:06:00,22:36:00,
11,徐家汇,23:10:00,22:40:00,
11,交通大学,23:12:00,22:42:00,
11,江苏路,23:16:00,22:46:00,
11,隆德路,23:18:00,22:48:00,
11,曹杨路,23:21:00,22:51:00,
11,枫桥路,23:22:00,22:52:00,
11,真如,23:25:00,22:55:00,
11,上海西站,23:27:00,22:57:00,
11,李子园,23:30:00,23:00:00,
11,祁连山路,23:32:00,23:02:00,
11,武威路,23:34:00,23:04:00,
11,桃浦新村,23:37:00,23:07:00,
11,南翔,23:41:00,23:11:00,
11,马陆,23:46:00,23:16:00,
11,嘉定新城,23:50:00,23:20:00,
11,白银路,23:52:00,--,
11,嘉定西,23:56:00,--,
11,嘉定北,23:59:00,--,
11,上海赛车场,--,23:24:00,
11,昌吉东路,--,23:29:00,
11,上海汽车城,--,23:32:00,
11,安亭,--,23:35:00,
11,兆丰路,--,23:38:00,
11,光明路,--,23:42:00,
11,花桥,--,23:44:00,
12,金海路,22:30:00,,
12,申江路,22:34:00,,
12,金京路,22:36:00,,
12,杨高北路,22:38:00,,
12,巨峰路,22:41:00,,
12,东陆路,22:43:00,,
12,复兴岛,22:46:00,,
12,爱国路,22:48:00,,
12,隆昌路,22:50:00,,
12,宁国路,22:53:00,,
12,江浦公园,22:55:00,,
12,大连路,22:57:00,,
12,提篮桥,22:59:00,,
12,国际客运中心,23:01:00,,
12,天潼路,23:05:00,,
12,曲阜路,23:07:00,,
12,汉中路,23:10:00,,
12,南京西路,23:13:00,,
12,陕西南路,23:16:00,,
12,嘉善路,23:18:00,,
12,大木桥路,23:21:00,,
12,龙华中路,23:23:00,,
12,龙华,23:26:00,,
12,龙漕路,23:29:00,,
12,漕宝路,23:31:00,,
12,桂林公园,23:33:00,,
12,虹漕路,23:35:00,,
12,虹梅路,23:38:00,,
12,东兰路,23:40:00,,
12,顾戴路,23:43:00,,
12,虹莘路,23:45:00,,
12,七莘路,23:47:00,,
13,金运路,22:30:00,,
13,金沙江西路,22:32:00,,
13,丰庄,22:36:00,,
13,祁连山南路,22:39:00,,
13,真北路,22:41:00,,
13,大渡河路,22:44:00,,
13,金沙江路,22:48:00,,
13,隆德路,22:50:00,,
13,武宁路,22:53:00,,
13,长寿路,22:55:00,,
13,江宁路,22:57:00,,
13,汉中路,23:00:00,,
13,自然博物馆,23:01:00,,
13,南京西路,23:04:00,,
13,淮海中路,23:06:00,,
13,新天地,23:09:00,,
13,马当路,23:11:00,,
13,世博会博物馆,23:13:00,,
13,世博大道,23:16:00,,
16,滴水湖,22:30:00,,
16,临港大道,22:33:00,,
16,书院,22:39:00,,
16,惠南东,22:49:00,,
16,惠南,22:54:00,,
16,野生动物园,23:02:00,,
16,新场,23:09:00,,
16,航头东,23:15:00,,
16,鹤沙航城,23:19:00,,
16,周浦东,23:25:00,,
16,罗山路,23:32:00,,
16,华夏中路,23:36:00,,
16,龙阳路,23:41:00,,
17,虹桥火车站,22:30:00,,
17,诸光路,22:33:00,,
17,蟠龙路,22:35:00,,
17,徐盈路,22:38:00,,
17,徐泾北城,22:41:00,,
17,嘉松中路,22:44:00,,
17,赵巷,22:47:00,,
17,汇金路,22:51:00,,
17,青浦新城,22:54:00,,
17,漕盈路,22:58:00,,
17,淀山湖大道,23:02:00,,
17,朱家角,23:07:00,,
17,东方绿洲,23:10:00,,
