,站名,时间
0,莘庄,22:30:00
1,春申路,22:32:00
2,银都路,22:34:00
3,颛桥,22:38:00
4,北桥,22:41:00
5,剑川路,22:44:00
6,东川路,22:46:00
7,金平路,22:49:00
8,华宁路,22:51:00
9,文井路,22:54:00
10,闵行开发区,22:56:00
