,站名,时间
0,浦东国际机场,22:00:00
1,海天三路,22:03:00
2,远东大道,22:10:00
3,凌空路,22:15:00
4,川沙,22:18:00
5,华夏东路,22:23:00
6,创新中路,22:26:00
7,唐镇,22:29:00
8,广兰路,22:33:00
9,金科路,22:36:00
10,张江高科,22:38:00
11,龙阳路,22:42:00
12,世纪公园,22:44:00
13,上海科技馆,22:46:00
14,世纪大道,22:49:00
15,东昌路,22:51:00
16,陆家嘴,22:54:00
17,南京东路,22:56:00
18,人民广场,22:59:00
19,南京西路,23:01:00
20,静安寺,23:04:00
21,江苏路,23:06:00
22,中山公园,23:09:00
23,娄山关路,23:12:00
24,威宁路,23:14:00
25,北新泾,23:17:00
26,淞虹路,23:19:00
27,虹桥2号航站楼 ,23:26:00
28,虹桥火车站,23:28:00
29,徐泾东,23:31:00
