,站名,时间
0,沈杜公路,22:30:00
1,联航路,22:32:00
2,江月路,22:34:00
3,浦江镇,22:36:00
4,芦恒路,22:40:00
5,凌兆新村,22:43:00
6,东方体育中心,22:47:00
7,杨思,22:49:00
8,成山路,22:51:00
9,耀华路,22:53:00
10,中华艺术宫,22:55:00
11,西藏南路,22:58:00
12,陆家浜路,23:00:00
13,老西门,23:02:00
14,大世界,23:04:00
15,人民广场,23:06:00
16,曲阜路,23:08:00
17,中兴路,23:10:00
18,西藏北路,23:13:00
19,虹口足球场,23:15:00
20,曲阳路,23:18:00
21,四平路,23:20:00
22,鞍山新村,23:22:00
23,江浦路,23:24:00
24,黄兴路,23:26:00
25,延吉中路,23:28:00
26,黄兴公园,23:30:00
27,翔殷路,23:32:00
28,嫩江路,23:34:00
29,市光路,23:35:00
