,站名,时间,Unnamed: 2
0,,往嘉定北↓,往花桥↓
1,罗山路,22:30:00,22:00:00
2,御桥,22:33:00,22:03:00
3,浦三路,22:38:00,22:08:00
4,三林东,22:41:00,22:11:00
5,三林,22:43:00,22:13:00
6,东方体育中心,22:48:00,22:18:00
7,龙耀路,22:51:00,22:21:00
8,云锦路,22:53:00,22:23:00
9,龙华,22:55:00,22:25:00
10,上海游泳馆,22:58:00,22:28:00
11,徐家汇,23:01:00,22:31:00
12,交通大学,23:04:00,22:34:00
13,江苏路,23:07:00,22:37:00
14,隆德路,23:10:00,22:40:00
15,曹杨路,23:12:00,22:42:00
16,枫桥路,23:14:00,22:44:00
17,真如,23:16:00,22:46:00
18,上海西站,23:19:00,22:49:00
19,李子园,23:21:00,22:51:00
20,祁连山路,23:24:00,22:54:00
21,武威路,23:26:00,22:56:00
22,桃浦新村,23:28:00,22:58:00
23,南翔,23:32:00,23:02:00
24,马陆,23:38:00,23:08:00
25,嘉定新城,23:41:00,23:11:00
26,白银路,23:44:00,---
27,嘉定西站,23:48:00,---
28,嘉定北站,23:50:00,---
29,上海赛车场,---,23:15:00
30,昌吉东路,---,23:21:00
31,上海汽车城,---,23:24:00
32,安亭,---,23:27:00
33,兆丰路,---,23:29:00
34,光明路,---,23:32:00
35,花桥,---,23:34:00
