,车站,时间
0,金海路,22:00:00
1,申江路,22:04:00
2,金京路,22:06:00
3,杨高北路,22:08:00
4,巨峰路,22:11:00
5,东陆路,22:13:00
6,复兴岛,22:16:00
7,爱国路,22:18:00
8,隆昌路,22:20:00
9,宁国路,22:23:00
10,江浦公园,22:25:00
11,大连路,22:27:00
12,提篮桥,22:29:00
13,国际客运中心,22:31:00
14,天潼路,22:35:00
15,曲阜路,22:37:00
