,站名,时间
0,港城路,22:30:00
1,外高桥保税区北,22:32:00
2,航津路,22:35:00
3,外高桥保税区南,22:38:00
4,洲海路,22:41:00
5,五洲大道,22:43:00
6,东靖路,22:45:00
7,巨峰路,22:47:00
8,五莲路,22:49:00
9,博兴路,22:52:00
10,金桥路,22:54:00
11,云山路,22:56:00
12,德平路,22:59:00
13,北洋泾路,23:01:00
14,民生路,23:03:00
15,源深体育中心,23:06:00
16,世纪大道,23:08:00
17,浦电路,23:11:00
18,蓝村路,23:13:00
19,上海儿童医学中心,23:16:00
20,临沂新村,23:18:00
21,高科西路,23:21:00
22,东明路,23:23:00
23,高青路,23:26:00
24,华夏西路,23:28:00
25,上南路,23:30:00
26,灵岩南路,23:32:00
27,东方体育中心,23:34:00
