,站名,时间
0,金运路,22:11:00
1,金沙江西路,22:13:00
2,丰庄,22:17:00
3,祁连山南路,22:20:00
4,真北路,22:22:00
5,大渡河路,22:25:00
6,金沙江路,22:28:00
